state,lat,long,reps
CA,37.19,-119.45,53
TX,31.47,-99.32,36
FL,28.62,-82.44,27
NY,42.95,-75.52,27
IL,40.04,-89.19,18
PA,40.87,-77.79,18
OH,40.28,-82.79,16
GA,32.64,-83.44,14
MI,44.34,-85.41,14
NC,35.55,-79.38,13
NJ,40.19,-74.67,12
VA,37.52,-78.85,11
WA,47.38,-120.45,10
AZ,34.27,-111.65,9
IN,39.89,-86.28,9
MA,42.25,-71.80,9
TN,35.86,-86.35,9
MD,39.05,-76.79,8
MN,46.28,-94.30,8
MO,38.35,-92.45,8
WI,44.62,-89.99,8
AL,32.77,-86.92,7
CO,38.99,-105.54,7
SC,33.91,-80.89,7
KY,37.53,-85.30,6
LA,31.06,-91.99,6
CT,41.62,-72.72,5
OK,35.59,-97.49,5
OR,43.93,-120.56,5
AR,34.89,-92.44,4
IA,42.07,-93.49,4
KS,38.49,-98.38,4
MS,32.73,-89.66,4
NV,39.33,-116.62,4
UT,39.30,-111.66,4
NE,41.53,-99.79,3
NM,34.40,-106.11,3
WV,38.64,-80.62,3
HI,20.29,-156.37,2
ID,44.35,-114.60,2
ME,45.37,-69.24,2
NH,43.68,-71.58,2
RI,41.67,-71.55,2
AK,64.06,-152.23,1
DE,38.98,-75.50,1
DC,38.91,-77.01,1
MT,47.05,-109.64,1
ND,47.44,-100.46,1
SD,44.44,-100.22,1
VT,44.06,-72.66,1
WY,42.99,-107.55,1
